dT,Tf,LTE
40,275,inf
51.37931034,275,inf
62.75862069,275,inf
74.13793103,275,inf
85.51724138,275,inf
96.89655172,275,inf
108.2758621,275,inf
119.6551724,275,inf
131.0344828,275,inf
142.4137931,275,inf
153.7931034,275,inf
165.1724138,275,inf
176.5517241,275,inf
187.9310345,275,inf
199.3103448,275,inf
210.6896552,275,inf
222.0689655,275,inf
233.4482759,275,inf
244.8275862,275,inf
256.2068966,275,1697.186301
267.5862069,275,708.890411
278.9655172,275,270.9753425
290.3448276,275,112.0520548
301.7241379,275,48.29315068
313.1034483,275,22.56438356
324.4827586,275,11.25205479
335.862069,275,5.928767123
347.2413793,275,3.284931507
358.6206897,275,1.904109589
370,275,1.150684932
40,285.3448276,inf
51.37931034,285.3448276,inf
62.75862069,285.3448276,inf
74.13793103,285.3448276,inf
85.51724138,285.3448276,inf
96.89655172,285.3448276,inf
108.2758621,285.3448276,inf
119.6551724,285.3448276,inf
131.0344828,285.3448276,inf
142.4137931,285.3448276,inf
153.7931034,285.3448276,inf
165.1724138,285.3448276,inf
176.5517241,285.3448276,inf
187.9310345,285.3448276,inf
199.3103448,285.3448276,inf
210.6896552,285.3448276,inf
222.0689655,285.3448276,inf
233.4482759,285.3448276,2732.832877
244.8275862,285.3448276,1390.2
256.2068966,285.3448276,734.3178082
267.5862069,285.3448276,308.6794521
278.9655172,285.3448276,122.8164384
290.3448276,285.3448276,52.72328767
301.7241379,285.3448276,23.60273973
313.1034483,285.3448276,11.42465753
324.4827586,285.3448276,5.895890411
335.862069,285.3448276,3.216438356
347.2413793,285.3448276,1.846575342
358.6206897,285.3448276,1.120547945
370,285.3448276,0.698630137
40,295.6896552,inf
51.37931034,295.6896552,inf
62.75862069,295.6896552,inf
74.13793103,295.6896552,inf
85.51724138,295.6896552,inf
96.89655172,295.6896552,inf
108.2758621,295.6896552,inf
119.6551724,295.6896552,inf
131.0344828,295.6896552,inf
142.4137931,295.6896552,inf
153.7931034,295.6896552,inf
165.1724138,295.6896552,inf
176.5517241,295.6896552,inf
187.9310345,295.6896552,inf
199.3103448,295.6896552,inf
210.6896552,295.6896552,inf
222.0689655,295.6896552,inf
233.4482759,295.6896552,1702.772603
244.8275862,295.6896552,875.0219178
256.2068966,295.6896552,468.5150685
267.5862069,295.6896552,197.2958904
278.9655172,295.6896552,79.40273973
290.3448276,295.6896552,34.4739726
301.7241379,295.6896552,15.61643836
313.1034483,295.6896552,7.649315068
324.4827586,295.6896552,3.994520548
335.862069,295.6896552,2.205479452
347.2413793,295.6896552,1.284931507
358.6206897,295.6896552,0.778082192
370,295.6896552,0.512328767
40,306.0344828,inf
51.37931034,306.0344828,inf
62.75862069,306.0344828,inf
74.13793103,306.0344828,inf
85.51724138,306.0344828,inf
96.89655172,306.0344828,inf
108.2758621,306.0344828,inf
119.6551724,306.0344828,inf
131.0344828,306.0344828,inf
142.4137931,306.0344828,inf
153.7931034,306.0344828,inf
165.1724138,306.0344828,inf
176.5517241,306.0344828,inf
187.9310345,306.0344828,inf
199.3103448,306.0344828,inf
210.6896552,306.0344828,inf
222.0689655,306.0344828,1623.909589
233.4482759,306.0344828,842.1342466
244.8275862,306.0344828,450.0821918
256.2068966,306.0344828,283.860274
267.5862069,306.0344828,105.3945205
278.9655172,306.0344828,42.6
290.3448276,306.0344828,19.02739726
301.7241379,306.0344828,8.882191781
313.1034483,306.0344828,4.482191781
324.4827586,306.0344828,2.416438356
335.862069,306.0344828,1.389041096
347.2413793,306.0344828,0.84109589
358.6206897,306.0344828,0.553424658
370,306.0344828,0.391780822
40,316.3793103,inf
51.37931034,316.3793103,inf
62.75862069,316.3793103,inf
74.13793103,316.3793103,inf
85.51724138,316.3793103,inf
96.89655172,316.3793103,inf
108.2758621,316.3793103,inf
119.6551724,316.3793103,inf
131.0344828,316.3793103,inf
142.4137931,316.3793103,inf
153.7931034,316.3793103,inf
165.1724138,316.3793103,inf
176.5517241,316.3793103,inf
187.9310345,316.3793103,inf
199.3103448,316.3793103,inf
210.6896552,316.3793103,1801.326027
222.0689655,316.3793103,915.4246575
233.4482759,316.3793103,485.8547945
244.8275862,316.3793103,265.3232877
256.2068966,316.3793103,186.8712329
267.5862069,316.3793103,63.46027397
278.9655172,316.3793103,25.67671233
290.3448276,316.3793103,11.6630137
301.7241379,316.3793103,5.545205479
313.1034483,316.3793103,2.852054795
324.4827586,316.3793103,1.569863014
335.862069,316.3793103,0.920547945
347.2413793,316.3793103,0.589041096
358.6206897,316.3793103,0.410958904
370,316.3793103,0.312328767
40,326.7241379,inf
51.37931034,326.7241379,inf
62.75862069,326.7241379,inf
74.13793103,326.7241379,inf
85.51724138,326.7241379,inf
96.89655172,326.7241379,inf
108.2758621,326.7241379,inf
119.6551724,326.7241379,inf
131.0344828,326.7241379,inf
142.4137931,326.7241379,inf
153.7931034,326.7241379,inf
165.1724138,326.7241379,inf
176.5517241,326.7241379,inf
187.9310345,326.7241379,inf
199.3103448,326.7241379,2120.112329
210.6896552,326.7241379,1084.578082
222.0689655,326.7241379,562.9013699
233.4482759,326.7241379,304.2657534
244.8275862,326.7241379,169.1178082
256.2068966,326.7241379,121.1972603
267.5862069,326.7241379,40.62191781
278.9655172,326.7241379,16.64931507
290.3448276,326.7241379,7.687671233
301.7241379,326.7241379,3.726027397
313.1034483,326.7241379,1.961643836
324.4827586,326.7241379,1.106849315
335.862069,326.7241379,0.676712329
347.2413793,326.7241379,0.452054795
358.6206897,326.7241379,0.328767123
370,326.7241379,0.263013699
40,337.0689655,inf
51.37931034,337.0689655,inf
62.75862069,337.0689655,inf
74.13793103,337.0689655,inf
85.51724138,337.0689655,inf
96.89655172,337.0689655,inf
108.2758621,337.0689655,inf
119.6551724,337.0689655,inf
131.0344828,337.0689655,inf
142.4137931,337.0689655,inf
153.7931034,337.0689655,inf
165.1724138,337.0689655,inf
176.5517241,337.0689655,inf
187.9310345,337.0689655,1885.761644
199.3103448,337.0689655,993.7780822
210.6896552,337.0689655,530.7452055
222.0689655,337.0689655,285.8547945
233.4482759,337.0689655,158.6520548
244.8275862,337.0689655,90.56712329
256.2068966,337.0689655,60.57534247
267.5862069,337.0689655,21.54246575
278.9655172,337.0689655,9.139726027
290.3448276,337.0689655,4.345205479
301.7241379,337.0689655,2.18630137
313.1034483,337.0689655,1.205479452
324.4827586,337.0689655,0.731506849
335.862069,337.0689655,0.487671233
347.2413793,337.0689655,0.361643836
358.6206897,337.0689655,0.282191781
370,337.0689655,0.24109589
40,347.4137931,inf
51.37931034,347.4137931,inf
62.75862069,347.4137931,inf
74.13793103,347.4137931,inf
85.51724138,347.4137931,inf
96.89655172,347.4137931,inf
108.2758621,347.4137931,inf
119.6551724,347.4137931,inf
131.0344828,347.4137931,inf
142.4137931,347.4137931,inf
153.7931034,347.4137931,inf
165.1724138,347.4137931,inf
176.5517241,347.4137931,2379.79726
187.9310345,347.4137931,1219.419178
199.3103448,347.4137931,648.9917808
210.6896552,347.4137931,351.3369863
222.0689655,347.4137931,191.569863
233.4482759,347.4137931,107.3013699
244.8275862,347.4137931,61.84383562
256.2068966,347.4137931,40.38082192
267.5862069,347.4137931,14.65753425
278.9655172,347.4137931,6.298630137
290.3448276,347.4137931,3.030136986
301.7241379,347.4137931,1.542465753
313.1034483,347.4137931,0.871232877
324.4827586,347.4137931,0.545205479
335.862069,347.4137931,0.383561644
347.2413793,347.4137931,0.298630137
358.6206897,347.4137931,0.246575342
370,347.4137931,0.221917808
40,357.7586207,inf
51.37931034,357.7586207,inf
62.75862069,357.7586207,inf
74.13793103,357.7586207,inf
85.51724138,357.7586207,inf
96.89655172,357.7586207,inf
108.2758621,357.7586207,inf
119.6551724,357.7586207,inf
131.0344828,357.7586207,inf
142.4137931,357.7586207,inf
153.7931034,357.7586207,inf
165.1724138,357.7586207,2065.408219
176.5517241,357.7586207,1083.134247
187.9310345,357.7586207,583.0767123
199.3103448,357.7586207,326.3863014
210.6896552,357.7586207,179.739726
222.0689655,357.7586207,102.3726027
233.4482759,357.7586207,59.13150685
244.8275862,357.7586207,36.18356164
256.2068966,357.7586207,22.30410959
267.5862069,357.7586207,8.115068493
278.9655172,357.7586207,3.621917808
290.3448276,357.7586207,1.835616438
301.7241379,357.7586207,1.01369863
313.1034483,357.7586207,0.62739726
324.4827586,357.7586207,0.430136986
335.862069,357.7586207,0.326027397
347.2413793,357.7586207,0.268493151
358.6206897,357.7586207,0.232876712
370,357.7586207,0.21369863
40,368.1034483,inf
51.37931034,368.1034483,inf
62.75862069,368.1034483,inf
74.13793103,368.1034483,inf
85.51724138,368.1034483,inf
96.89655172,368.1034483,inf
108.2758621,368.1034483,inf
119.6551724,368.1034483,inf
131.0344828,368.1034483,inf
142.4137931,368.1034483,inf
153.7931034,368.1034483,2370.282192
165.1724138,368.1034483,1213.989041
176.5517241,368.1034483,647.7342466
187.9310345,368.1034483,355.6520548
199.3103448,368.1034483,203.4027397
210.6896552,368.1034483,112.7890411
222.0689655,368.1034483,65.5369863
233.4482759,368.1034483,38.41917808
244.8275862,368.1034483,24.2630137
256.2068966,368.1034483,14.5260274
267.5862069,368.1034483,5.282191781
278.9655172,368.1034483,2.402739726
290.3448276,368.1034483,1.252054795
301.7241379,368.1034483,0.726027397
313.1034483,368.1034483,0.479452055
324.4827586,368.1034483,0.356164384
335.862069,368.1034483,0.287671233
347.2413793,368.1034483,0.249315068
358.6206897,368.1034483,0.224657534
370,368.1034483,0.208219178
40,378.4482759,inf
51.37931034,378.4482759,inf
62.75862069,378.4482759,inf
74.13793103,378.4482759,inf
85.51724138,378.4482759,inf
96.89655172,378.4482759,inf
108.2758621,378.4482759,inf
119.6551724,378.4482759,inf
131.0344828,378.4482759,inf
142.4137931,378.4482759,2496.893151
153.7931034,378.4482759,1285.383562
165.1724138,378.4482759,680.0082192
176.5517241,378.4482759,371.8191781
187.9310345,378.4482759,208.7068493
199.3103448,378.4482759,121.4136986
210.6896552,378.4482759,69.64109589
222.0689655,378.4482759,42.10410959
233.4482759,378.4482759,26.3260274
244.8275862,378.4482759,18.66849315
256.2068966,378.4482759,9.964383562
267.5862069,378.4482759,3.490410959
278.9655172,378.4482759,1.654794521
290.3448276,378.4482759,0.915068493
301.7241379,378.4482759,0.567123288
313.1034483,378.4482759,0.397260274
324.4827586,378.4482759,0.312328767
335.862069,378.4482759,0.265753425
347.2413793,378.4482759,0.235616438
358.6206897,378.4482759,0.219178082
370,378.4482759,0.208219178
40,388.7931034,inf
51.37931034,388.7931034,inf
62.75862069,388.7931034,inf
74.13793103,388.7931034,inf
85.51724138,388.7931034,inf
96.89655172,388.7931034,inf
108.2758621,388.7931034,inf
119.6551724,388.7931034,inf
131.0344828,388.7931034,2475.156164
142.4137931,388.7931034,1259.369863
153.7931034,388.7931034,670.090411
165.1724138,388.7931034,366.0383562
176.5517241,388.7931034,204.7013699
187.9310345,388.7931034,117.139726
199.3103448,388.7931034,69.00547945
210.6896552,388.7931034,41.26575342
222.0689655,388.7931034,26.14794521
233.4482759,388.7931034,17.98082192
244.8275862,388.7931034,15.75890411
256.2068966,388.7931034,6.805479452
267.5862069,388.7931034,2.24109589
278.9655172,388.7931034,1.128767123
290.3448276,388.7931034,0.676712329
301.7241379,388.7931034,0.463013699
313.1034483,388.7931034,0.356164384
324.4827586,388.7931034,0.295890411
335.862069,388.7931034,0.260273973
