,drat,dT,Tf,LTE
0,,100.0,300,inf
1,,110.0,300,inf
2,,120.0,300,inf
3,,130.0,300,inf
4,,140.0,300,inf
5,,150.0,300,inf
6,,160.0,300,inf
7,,170.0,300,inf
8,,180.0,300,inf
9,,190.0,300,inf
10,,200.0,300,inf
11,,210.0,300,inf
12,,220.0,300,inf
13,,100.0,325,inf
14,,110.0,325,inf
15,,120.0,325,inf
16,,130.0,325,inf
17,,140.0,325,inf
18,,150.0,325,inf
19,,160.0,325,inf
20,,170.0,325,inf
21,,180.0,325,inf
22,,190.0,325,inf
23,,200.0,325,inf
24,,210.0,325,inf
25,,220.0,325,inf
26,,100.0,350,inf
27,,110.0,350,inf
28,,120.0,350,inf
29,,130.0,350,inf
30,,140.0,350,inf
31,,150.0,350,inf
32,,160.0,350,inf
33,,170.0,350,inf
34,,180.0,350,inf
35,,190.0,350,inf
36,,200.0,350,inf
37,,210.0,350,inf
38,0.011563080349007515,220.0,350,1966.6465753424663
39,,100.0,375,inf
40,,110.0,375,inf
41,,120.0,375,inf
42,,130.0,375,inf
43,,140.0,375,inf
44,,150.0,375,inf
45,,160.0,375,inf
46,,170.0,375,inf
47,,180.0,375,inf
48,,190.0,375,inf
49,0.01049252830192784,200.0,375,2671.5369863013684
50,0.004864878389276432,210.0,375,1097.8849315068494
51,0.0023272718349706114,220.0,375,446.2904109589041
52,,100.0,400,inf
53,,110.0,400,inf
54,,120.0,400,inf
55,,130.0,400,inf
56,,140.0,400,inf
57,,150.0,400,inf
58,,160.0,400,inf
59,,170.0,400,inf
60,,180.0,400,inf
61,0.004491809967593993,190.0,400,1526.4958904109576
62,0.0021159165358721225,200.0,400,601.4739726027395
63,0.0010288416571773316,210.0,400,240.65479452054785
64,0.0005153901156464245,220.0,400,98.62465753424658
65,,100.0,425,inf
66,,110.0,425,inf
67,,120.0,425,inf
68,,130.0,425,inf
69,,140.0,425,inf
70,,150.0,425,inf
71,,160.0,425,inf
72,0.004306602001528564,170.0,425,2269.2739726027385
73,0.0019874819915768256,180.0,425,861.8465753424657
74,0.0009496680600569349,190.0,425,333.5643835616436
75,0.00046850427080035465,200.0,425,132.6109589041096
76,0.0002381958126703526,210.0,425,54.33972602739728
77,0.00012486513711384027,220.0,425,23.01095890410958
78,,100.0,450,inf
79,,110.0,450,inf
80,,120.0,450,inf
81,,130.0,450,inf
82,,140.0,450,inf
83,,150.0,450,inf
84,0.0019434715786751406,160.0,450,1326.1452054794527
85,0.000907054913602851,170.0,450,492.43287671232895
86,0.0004384446757030833,180.0,450,188.6054794520547
87,0.00021897514944748333,190.0,450,74.73150684931507
88,0.00011293411354634735,200.0,450,30.682191780821906
89,6.0319050552254483e-05,210.0,450,13.101369863013703
90,3.3731974599813226e-05,220.0,450,5.882191780821915
91,,100.0,475,inf
92,,110.0,475,inf
93,,120.0,475,inf
94,,130.0,475,inf
95,0.0020038391017122097,140.0,475,2230.4876712328755
96,0.0009055068051112311,150.0,475,786.0438356164381
97,0.0004258719687587069,160.0,475,287.3287671232878
98,0.00020777188174457486,170.0,475,109.22191780821922
99,0.00010495562962165465,180.0,475,43.19178082191784
100,5.495370643175802e-05,190.0,475,17.79726027397261
101,3.0050758910458658e-05,200.0,475,7.701369863013701
102,1.7553807989879423e-05,210.0,475,3.578082191780818
103,1.1518903434993696e-05,220.0,475,1.8767123287671252
104,,100.0,500,inf
105,,110.0,500,inf
106,,120.0,500,inf
107,0.000959051068770124,130.0,500,1385.7369863013696
108,0.00043443146945751023,140.0,500,477.1068493150685
109,0.00020539400594070986,150.0,500,172.09863013698626
110,0.00010098757806546952,160.0,500,64.95890410958904
111,5.15881159546172e-05,170.0,500,25.64931506849314
112,2.7496795363388807e-05,180.0,500,10.638356164383552
113,1.5546724861369502e-05,190.0,500,4.712328767123292
114,0.00024382077734406713,200.0,500,2.3095890410958884
115,0.0001777838826503712,210.0,500,1.3698630136986285
116,0.00016935119680973923,220.0,500,1.0657534246575302
117,,100.0,525,inf
118,,110.0,525,inf
119,0.000473914197625431,120.0,525,885.7671232876712
120,0.0002145184532301563,130.0,525,298.40273972602733
121,0.00010171593039100627,140.0,525,106.15068493150677
122,5.034234778010092e-05,150.0,525,39.758904109589054
123,2.6029406726526798e-05,160.0,525,15.690410958904105
124,1.420812174358894e-05,170.0,525,6.589041095890401
125,0.00022158666677128512,180.0,525,3.0246575342465727
126,0.00015085063592997367,190.0,525,1.649315068493146
127,0.00013339356890865837,200.0,525,1.1726027397260264
128,0.00015665184002888437,210.0,525,1.1068493150684926
129,0.00021463595668581902,220.0,525,1.227397260273976
130,0.0005689416572251065,100.0,550,1910.4547945205466
131,0.00024192784239561706,110.0,550,586.9232876712329
132,0.00010904828459146467,120.0,550,193.07671232876703
133,5.173445899494783e-05,130.0,550,67.59178082191782
134,2.5754439141552614e-05,140.0,550,25.095890410958894
135,0.0003783573460672661,150.0,550,9.852054794520555
136,0.00020905872547113854,160.0,550,4.2493150684931456
137,0.00013231131395970047,170.0,550,2.1123287671232864
138,0.0001066335133521553,180.0,550,1.3424657534246538
139,0.0001172932170806312,190.0,550,1.1698630136986323
140,0.00015990459959653696,200.0,550,1.271232876712332
141,0.00022699829875950063,210.0,550,1.443835616438353
142,0.000310085873477779,220.0,550,1.591780821917812
