,dT,Tf,strainrange,df4,dc20,lte_cycles,ratio_dmgs
0,50,275,0.00046346,9.409232485605857e-11,7.574311699513861e-23,inf,
1,60,275,0.00055143,1.4088094010166014e-10,1.7629256445082652e-21,inf,
2,70,275,0.00064023,2.0639469288949103e-10,2.956990887694389e-20,inf,
3,80,275,0.00072976,2.962561698658508e-10,3.8352152934156044e-19,inf,
4,90,275,0.00081998,4.1741796277810186e-10,4.03773126103927e-18,inf,
5,100,275,0.00091084,5.783262509446584e-10,3.5733467346197276e-17,inf,
6,110,275,0.00100233,7.892572388539786e-10,2.728588112045984e-16,inf,
7,120,275,0.00109443,1.0625425042443205e-09,1.834194990895872e-15,inf,
8,130,275,0.00118715,1.413024669162391e-09,1.102833691572493e-14,inf,
9,140,275,0.00128035,1.8576135148243672e-09,6.003047674863848e-14,inf,
10,150,275,0.00137388,2.4156894123324483e-09,2.98676092689137e-13,inf,
11,160,275,0.0014677,3.110141085127398e-09,1.3700742108643584e-12,inf,
12,170,275,0.00156183,3.96793828869534e-09,5.8394210485476425e-12,inf,
13,180,275,0.00165626,5.020037870938149e-09,2.32760533059341e-11,inf,
14,190,275,0.001751,6.302332066055429e-09,8.726759196050868e-11,inf,
15,200,275,0.00184605,7.855948187345766e-09,3.092440587195457e-10,inf,
16,210,275,0.00194142,9.728178771990244e-09,1.0402554105913278e-09,inf,
17,220,275,0.00203712,1.1973126309404267e-08,3.334387707232963e-09,inf,
18,230,275,0.00213313,1.4651618133657708e-08,1.0217634566612044e-08,inf,
19,240,275,0.00222946,1.7833443690516066e-08,3.002133099258107e-08,inf,
20,250,275,0.00232612,2.1597799325526387e-08,8.481096721503881e-08,inf,
21,260,275,0.00242311,2.6033876640779085e-08,2.309205461054109e-07,inf,
22,270,275,0.00252045,3.124337327778046e-08,6.073448869970161e-07,832661.0000000002,0.05144255586354176
23,280,275,0.00261816,3.7341293944503425e-08,1.385709615109731e-06,477282.99999999977,0.026947416354288958
24,290,275,0.00271621,4.445361246168274e-08,2.72620937922636e-06,280048.0,0.01630601552485955
25,300,275,0.00281461,5.272407265873158e-08,5.280329614049585e-06,159183.00000000006,0.009984996489318873
26,50,300,0.00046955,9.684090688416037e-11,3.545608461790886e-21,inf,
27,60,300,0.00055875,1.4552331649560708e-10,6.864570935275344e-20,inf,
28,70,300,0.00064877,2.1384404123129142e-10,9.753145983497407e-19,inf,
29,80,300,0.00073953,3.0776721144180175e-10,1.0874184320761442e-17,inf,
30,90,300,0.00083097,4.3463524922229543e-10,9.963115139560779e-17,inf,
31,100,300,0.00092305,6.034122645169221e-10,7.754186115505778e-16,inf,
32,110,300,0.00101574,8.249496374237553e-10,5.253851006097326e-15,inf,
33,120,300,0.00110881,1.1115718924156524e-09,3.1538003237204615e-14,inf,
34,130,300,0.0012022,1.4780945418334772e-09,1.7020010179095667e-13,inf,
35,140,300,0.0012959,1.9420763390119644e-09,8.361425259366384e-13,inf,
36,150,300,0.00138991,2.5241337435617464e-09,3.77788810085824e-12,inf,
37,160,300,0.00148425,3.248490597747205e-09,1.5832556863760847e-11,inf,
38,170,300,0.00157891,4.143098239466607e-09,6.198581455276504e-11,inf,
39,180,300,0.00167391,5.240622798220821e-09,2.2809249378005298e-10,inf,
40,190,300,0.00176924,6.578439106148252e-09,7.929684749229309e-10,inf,
41,200,300,0.0018649,8.19959943520802e-09,2.616344693013545e-09,inf,
42,210,300,0.00196087,1.0152976172262152e-08,8.224204666732937e-09,inf,
43,220,300,0.00205718,1.2495428258199221e-08,2.4716921022554463e-08,inf,
44,230,300,0.00215382,1.529088052702027e-08,7.124120633563552e-08,inf,
45,240,300,0.00225082,1.8613251482081572e-08,1.9748378187052561e-07,inf,
46,250,300,0.00234817,2.254515814146887e-08,5.278242267217672e-07,inf,
47,260,300,0.00244588,2.718083043058521e-08,1.3632063252102006e-06,532017.0,0.019938896943127112
48,270,300,0.00254394,3.262565405362215e-08,3.408362983223634e-06,248246.99999999988,0.009572235766615669
49,280,300,0.00264236,3.899937869589061e-08,7.385358711960971e-06,123057.0,0.005280634322166248
50,290,300,0.00274114,4.643608167985961e-08,1.3968598402940202e-05,67336.99999999997,0.003324319329710663
51,300,300,0.00284026,5.5084262809682026e-08,2.605495780765179e-05,36898.99999999997,0.0021141566690046584
52,50,325,0.00047569,9.968044062106693e-11,1.2327989996167388e-19,inf,
53,60,325,0.00056611,1.503189497291157e-10,2.0220535045555382e-18,inf,
54,70,325,0.00065735,2.2155148102253552e-10,2.4738943172266717e-17,inf,
55,80,325,0.00074934,3.1969563155852895e-10,2.4067146163910205e-16,inf,
56,90,325,0.00084185,4.5225567753081266e-10,1.942521171145675e-15,inf,
57,100,325,0.00093472,6.282260101644997e-10,1.3410581366696131e-14,inf,
58,110,325,0.00102794,8.585768763882369e-10,8.112024612433993e-14,inf,
59,120,325,0.0011215,1.1563899290820536e-09,4.380229483317877e-13,inf,
60,130,325,0.00121542,1.5372964899251184e-09,2.1422866755571036e-12,inf,
61,140,325,0.00130967,2.0195278858330697e-09,9.601379343279443e-12,inf,
62,150,325,0.00140428,2.624785189217211e-09,3.9809292825935494e-11,inf,
63,160,325,0.00149922,3.3780443613345534e-09,1.5390134644426115e-10,inf,
64,170,325,0.00159451,4.308715232283007e-09,5.58426872466779e-10,inf,
65,180,325,0.00169013,5.450477359282851e-09,1.9123861161196307e-09,inf,
66,190,325,0.00178609,6.84250258426376e-09,6.210761120393473e-09,inf,
67,200,325,0.00188238,8.52953824044802e-09,1.920929971947027e-08,inf,
68,210,325,0.00197902,1.0563432673367341e-08,5.67921986131079e-08,inf,
69,220,325,0.00207603,1.3003691640744667e-08,1.610301813978047e-07,inf,
70,230,325,0.00217339,1.5917160991846637e-08,4.3913696184318444e-07,inf,
71,240,325,0.00227112,1.9381020716270502e-08,1.1547233831062213e-06,656615.0000000002,0.01678412423253723
72,250,325,0.00236919,2.3480944146914687e-08,2.9341983734076106e-06,295829.0000000001,0.008002507383181888
73,260,325,0.00246762,2.831578203137798e-08,7.218948726804829e-06,128917.00000000009,0.003922424594350983
