,drat,dT,Tf,LTE
0,,100.0,300,inf
1,,110.0,300,inf
2,,120.0,300,inf
3,,130.0,300,inf
4,,140.0,300,inf
5,,150.0,300,inf
6,,160.0,300,inf
7,,170.0,300,inf
8,,180.0,300,inf
9,,190.0,300,inf
10,,200.0,300,inf
11,,210.0,300,inf
12,,220.0,300,inf
13,,100.0,325,inf
14,,110.0,325,inf
15,,120.0,325,inf
16,,130.0,325,inf
17,,140.0,325,inf
18,,150.0,325,inf
19,,160.0,325,inf
20,,170.0,325,inf
21,,180.0,325,inf
22,,190.0,325,inf
23,,200.0,325,inf
24,,210.0,325,inf
25,,220.0,325,inf
26,,100.0,350,inf
27,,110.0,350,inf
28,,120.0,350,inf
29,,130.0,350,inf
30,,140.0,350,inf
31,,150.0,350,inf
32,,160.0,350,inf
33,,170.0,350,inf
34,,180.0,350,inf
35,,190.0,350,inf
36,,200.0,350,inf
37,,210.0,350,inf
38,5.212802356081761e-25,220.0,350,2289.7315068493144
39,,100.0,375,inf
40,,110.0,375,inf
41,,120.0,375,inf
42,,130.0,375,inf
43,,140.0,375,inf
44,,150.0,375,inf
45,,160.0,375,inf
46,,170.0,375,inf
47,,180.0,375,inf
48,,190.0,375,inf
49,,200.0,375,inf
50,1.6112230047211252e-27,210.0,375,1346.7616438356167
51,3.2144768067079395e-25,220.0,375,517.8575342465755
52,,100.0,400,inf
53,,110.0,400,inf
54,,120.0,400,inf
55,,130.0,400,inf
56,,140.0,400,inf
57,,150.0,400,inf
58,,160.0,400,inf
59,,170.0,400,inf
60,,180.0,400,inf
61,2.86206565706884e-33,190.0,400,2150.04109589041
62,2.5017906895897595e-30,200.0,400,817.2849315068493
63,9.690198628345612e-28,210.0,400,320.3205479452053
64,2.0132778148089653e-25,220.0,400,128.85205479452046
65,,100.0,425,inf
66,,110.0,425,inf
67,,120.0,425,inf
68,,130.0,425,inf
69,,140.0,425,inf
70,,150.0,425,inf
71,,160.0,425,inf
72,,170.0,425,inf
73,7.587823050636384e-37,180.0,425,1325.7260273972609
74,1.7497838062389474e-33,190.0,425,512.1589041095888
75,1.7835827813621422e-30,200.0,425,202.74246575342457
76,8.790087207770131e-28,210.0,425,82.12328767123286
77,2.257300405568152e-25,220.0,425,34.0712328767123
78,,100.0,450,inf
79,,110.0,450,inf
80,,120.0,450,inf
81,,130.0,450,inf
82,,140.0,450,inf
83,,150.0,450,inf
84,2.4333407874674482e-45,160.0,450,2227.668493150684
85,6.940691783391126e-41,170.0,450,844.4986301369856
86,6.2092241793387735e-37,180.0,450,328.035616438356
87,1.9978532429779513e-33,190.0,450,130.46849315068485
88,3.548310570479705e-16,200.0,450,53.172602739726024
89,8.5382935923555e-15,210.0,450,22.268493150684925
90,1.4112519035955045e-13,220.0,450,9.805479452054787
91,,100.0,475,inf
92,,110.0,475,inf
93,,120.0,475,inf
94,,130.0,475,inf
95,,140.0,475,inf
96,1.3653336148394633e-50,150.0,475,1454.4575342465753
97,2.5214512917372007e-45,160.0,475,547.53698630137
98,1.0819221592616028e-40,170.0,475,213.27123287671225
99,1.221999743914391e-19,180.0,475,85.19999999999995
100,8.754771095806867e-18,190.0,475,34.98082191780821
101,3.5972759716421255e-16,200.0,475,14.841095890410964
102,9.248365111312435e-15,210.0,475,6.589041095890401
103,1.6264070344256393e-13,220.0,475,3.1369863013698653
104,,100.0,500,inf
105,,110.0,500,inf
106,,120.0,500,inf
107,1.1660465163247729e-63,130.0,500,2559.5589041095895
108,1.8694091310369407e-56,140.0,500,946.9698630136986
109,4.0608311322828855e-27,150.0,500,360.035616438356
110,3.376264385109206e-24,160.0,500,140.6191780821917
111,1.0974203222930754e-21,170.0,500,56.47945205479452
112,1.6120657303967365e-19,180.0,500,23.421917808219177
113,1.2146298643237084e-17,190.0,500,10.128767123287679
114,5.397427205404365e-16,200.0,500,4.731506849315071
115,1.5007348658252066e-14,210.0,500,2.383561643835613
116,3.1919224879712935e-13,220.0,500,1.438356164383566
117,,100.0,525,inf
118,,110.0,525,inf
119,1.8197150477986427e-71,120.0,525,1691.8
120,2.6141350814928595e-34,130.0,525,625.2630136986303
121,2.9290887216268894e-30,140.0,525,238.00273972602733
122,8.080685012048446e-27,150.0,525,93.29589041095882
123,6.974546699539196e-24,160.0,525,37.753424657534225
124,2.2941046221958697e-21,170.0,525,15.884931506849306
125,3.4044827959838826e-19,180.0,525,7.071232876712334
126,2.685252578076362e-17,190.0,525,3.452054794520548
127,1.3348982808340285e-15,200.0,525,1.961643835616434
128,5.0278673686808034e-14,210.0,525,1.4164383561643874
129,1.5168997322980414e-12,220.0,525,1.3013698630137005
130,,100.0,550,inf
131,4.000786696021029e-44,110.0,550,1112.7150684931507
132,2.1290696710764247e-38,120.0,550,410.92602739726044
133,1.2961791045393108e-33,130.0,550,156.71506849315074
134,1.3715812917047362e-29,140.0,550,61.753424657534204
135,3.4952392199541424e-26,150.0,550,25.26027397260275
136,2.779546086866823e-23,160.0,550,10.87397260273973
137,8.73950142034423e-21,170.0,550,5.076712328767126
138,1.3584116099796122e-18,180.0,550,2.7095890410958896
139,1.2823930495681523e-16,190.0,550,1.78630136986301
140,8.656365558001592e-15,200.0,550,1.5369863013698617
141,4.403737963334984e-13,210.0,550,1.6876712328767143
142,1.3363747800713337e-12,220.0,550,2.1013698630137028
