,dT,Tf,strainrange,df4,dc20,lte_cycles,ratio_dmgs
0,50,275,0.00046939,5.3601448808024686e-08,2.3341043157000616e-16,inf,
1,60,275,0.00055763,1.5537060255026355e-08,2.4898374719291948e-15,inf,
2,70,275,0.00064675,7.56034923945743e-09,2.065033853193642e-14,inf,
3,80,275,0.00073665,5.071784974730518e-09,1.4053495273540552e-13,inf,
4,90,275,0.00082726,4.185529035662651e-09,8.146578532248222e-13,inf,
5,100,275,0.00091854,3.96352467930816e-09,4.132717190152367e-12,inf,
6,110,275,0.00101047,4.120021072089921e-09,1.8721790973469436e-11,inf,
7,120,275,0.00110302,4.565726691698432e-09,7.692629988425061e-11,inf,
8,130,275,0.00119617,5.288167743561236e-09,2.902284073746856e-10,inf,
9,140,275,0.00128993,6.314528990003439e-09,1.0153553800393457e-09,inf,
10,150,275,0.00138427,7.69829568329061e-09,3.3208408671501418e-09,inf,
11,160,275,0.00147931,2.7736060930951453e-08,9.184644633610833e-09,inf,
12,170,275,0.00157515,3.839510995933818e-08,1.746108871352874e-08,inf,
13,180,275,0.00167183,5.3368138804156864e-08,3.261467931163132e-08,inf,
14,190,275,0.0017693,7.419548543142655e-08,5.992760271174674e-08,inf,
15,200,275,0.00186742,1.0284760625735711e-07,1.0798520109320188e-07,967480.0000000005,0.9524231581380256
16,210,275,0.00196618,1.4186986860377163e-07,1.916820259773256e-07,680962.0000000002,0.7401313079847855
17,220,275,0.0020657,1.945563354520124e-07,3.352281952789097e-07,479332.99999999977,0.5803698441598614
18,230,275,0.00216644,2.653676463395796e-07,5.781857804038974e-07,337099.0,0.4589660543955343
19,240,275,0.00226836,3.5966823231711445e-07,9.857010179473898e-07,236814.99999999994,0.36488572677553144
20,250,275,0.00237124,4.838318832012052e-07,1.6667643983409355e-06,166079.00000000006,0.29028210806686416
21,260,275,0.002475,6.456429620631211e-07,2.787291790248691e-06,116305.99999999991,0.23163809555996104
22,270,275,0.00257941,8.540125735669789e-07,4.609976771005191e-06,81326.99999999994,0.1852531186140368
23,280,275,0.00268427,1.119167904670921e-06,7.533261348863436e-06,56800.000000000015,0.14856353083246915
24,290,275,0.00278999,1.4547242317161498e-06,1.2154248142196307e-05,39609.999999999985,0.11968854138050179
25,300,275,0.0028965,1.87535402597841e-06,1.931953163244625e-05,27627.000000000015,0.09707036700769912
26,50,300,0.00047561,4.796498612271964e-08,3.726889731416615e-15,inf,
27,60,300,0.00056512,1.4381657872758546e-08,3.46540336068195e-14,inf,
28,70,300,0.00065551,7.185098202363696e-09,2.540723246111242e-13,inf,
29,80,300,0.00074667,4.922052616792558e-09,1.545892518088846e-12,inf,
30,90,300,0.00083855,4.130864490770281e-09,8.087595928449504e-12,inf,
31,100,300,0.00093109,3.9657986707422504e-09,3.732479947465417e-11,inf,
32,110,300,0.00102427,4.169172520120378e-09,1.5487630496778826e-10,inf,
33,120,300,0.00111806,4.663578947655654e-09,5.863755994338269e-10,inf,
34,130,300,0.00121251,1.1907655105804886e-08,2.049692330054671e-09,inf,
35,140,300,0.00130774,1.582452776486162e-08,6.680406536791541e-09,inf,
36,150,300,0.00140381,2.1558386280663825e-08,2.046099233777686e-08,inf,
37,160,300,0.00150073,2.981672290420164e-08,4.835444150037916e-08,inf,
38,170,300,0.00159833,4.155124158153308e-08,8.747333070281843e-08,inf,
39,180,300,0.00169656,5.804202921960485e-08,1.5577156154089117e-07,inf,
40,190,300,0.00179551,8.10059140569703e-08,2.733059602259553e-07,997647.0000000005,0.29639278261622526
41,200,300,0.00189526,1.1269632440978586e-07,4.73075937402438e-07,672340.0000000002,0.23822036907769617
42,210,300,0.00199654,1.563632014441913e-07,8.080906106961577e-07,451395.0,0.19349711452467785
43,220,300,0.00209865,2.1557338001787202e-07,1.369016590540522e-06,302189.9999999999,0.15746586382328523
44,230,300,0.00220176,2.951958022228033e-07,2.295344442287143e-06,201935.00000000006,0.12860632016023804
45,240,300,0.00230551,4.008051292344682e-07,3.8091750853861518e-06,134835.99999999994,0.10522097836147035
46,250,300,0.00240969,5.390916036755186e-07,6.246955997549674e-06,90099.99999999997,0.08629668656013803
47,260,300,0.00251473,7.190445772824805e-07,1.0121351694852948e-05,60268.0,0.07104234680908668
48,270,300,0.00262048,9.505975746487847e-07,1.6159365491235817e-05,40462.0,0.0588264171117579
49,280,300,0.0027269,1.2455319900933284e-06,2.5484915694903816e-05,27252.000000000007,0.048873302348902636
50,290,300,0.00283412,1.6181293609966522e-06,3.970285822270611e-05,18428.0,0.04075599172029489
51,300,300,0.00294201,2.0839881742993105e-06,6.127913333879983e-05,12494.999999999993,0.034008120884761295
52,50,325,0.00048175,4.31606763450124e-08,4.776718809581793e-14,inf,
53,60,325,0.00057249,1.337444110719195e-08,3.927010655165332e-13,inf,
54,70,325,0.00066411,6.854271267538787e-09,2.5774465717970797e-12,inf,
55,80,325,0.0007565,4.790698381932756e-09,1.418020755726955e-11,inf,
56,90,325,0.00084959,4.08598554724601e-09,6.763489071415209e-11,inf,
57,100,325,0.00094336,3.974304487920799e-09,2.866047684466843e-10,inf,
58,110,325,0.00103789,7.895438963368768e-09,1.0993040159904933e-09,inf,
59,120,325,0.00113327,9.65692945985491e-09,3.872231279182918e-09,inf,
60,130,325,0.00122953,1.2501064918903414e-08,1.2662825453379061e-08,inf,
61,140,325,0.00132655,1.6788776348154202e-08,3.875776640827318e-08,inf,
62,150,325,0.0014242,2.3063261136705006e-08,1.1174091948560323e-07,inf,
63,160,325,0.00152253,3.2102764312279426e-08,2.253463234644001e-07,inf,
64,170,325,0.00162164,4.498704900110462e-08,3.9077342582251175e-07,inf,
65,180,325,0.0017219,6.324203224065052e-08,6.690226109479379e-07,807624.0000000002,0.09452899080801305
66,190,325,0.00182324,8.885318412051033e-08,1.134158458683389e-06,517106.9999999999,0.07834283070432446
67,200,325,0.00192564,1.2443837032391486e-07,1.9053811608240083e-06,330543.0,0.06530891187677104
68,210,325,0.00202868,1.7317056840942383e-07,3.168723211803138e-06,211539.99999999994,0.05464995104791196
69,220,325,0.00213215,2.3901979204950126e-07,5.2112569089589975e-06,135824.99999999994,0.045866054240885225
70,230,325,0.00223647,3.2738476404865985e-07,8.468068074354314e-06,87608.00000000003,0.03866109260979492
71,240,325,0.00234142,4.444588015021766e-07,1.3581658666165171e-05,56878.0,0.03272492796549356
72,250,325,0.00244717,5.981867230620831e-07,2.149149276249701e-05,37210.0,0.027833651653361574
73,260,325,0.00255377,7.981022435839168e-07,3.359714315329912e-05,24522.0,0.02375506274275424
74,270,325,0.0026609,1.054663433648437e-06,5.1993550023919946e-05,16263.999999999989,0.02028450515810582
75,280,325,0.00276835,1.3798474299398607e-06,7.964876008844999e-05,10861.999999999996,0.017324154555670913
76,290,325,0.00287622,1.7882036068208514e-06,0.000120759493944525,7307.999999999998,0.014807975326911554
77,300,325,0.00298481,2.29760512182876e-06,0.00017856192515129998,5019.999999999996,0.012867273467632822
78,50,350,0.00048788,3.899738780329145e-08,5.058149254945137e-13,inf,
79,60,350,0.00057984,1.248064811895201e-08,3.719798475448824e-12,inf,
80,70,350,0.00067268,6.5572813319977225e-09,2.2085334124983003e-11,inf,
81,80,350,0.00076634,8.472879714934867e-09,1.1094494565876582e-10,inf,
82,90,350,0.00086091,7.046495077808916e-09,4.874437166696794e-10,inf,
83,100,350,0.00095639,7.098344480667798e-09,1.9169413897963858e-09,inf,
84,110,350,0.00105275,8.109300014148208e-09,6.8623178128240516e-09,inf,
85,120,350,0.00114978,1.0061484712824748e-08,2.263164538076558e-08,inf,
86,130,350,0.00124746,1.317324901266727e-08,6.946258590279982e-08,inf,
87,140,350,0.00134589,1.7855593852238213e-08,2.0018986544250196e-07,inf,
88,150,350,0.00144516,2.4731682497450374e-08,5.456853723963115e-07,inf,
89,160,350,0.00154581,3.4745165525114364e-08,9.495603029863731e-07,792226.0,0.036590794092634875
90,170,350,0.00164739,4.9110933745743004e-08,1.5968769088459538e-06,490466.9999999999,0.03075436401747143
91,180,350,0.00174972,6.94671166852494e-08,2.6583047064073656e-06,304553.0000000001,0.026132112138165124
92,190,350,0.00185249,9.79025504214285e-08,4.379699316610932e-06,190084.99999999988,0.022353715025621158
93,200,350,0.00195604,1.373108164902932e-07,7.131857188804968e-06,119508.0,0.01925316405743976
94,210,350,0.00206023,1.9125259845176415e-07,1.1479546922256944e-05,75752.99999999994,0.016660291538245033
95,220,350,0.00216529,2.6444348214732056e-07,1.8205419050914794e-05,48578.999999999985,0.014525536677170454
96,230,350,0.00227111,3.625799696624654e-07,2.855562945346743e-05,31428.000000000007,0.01269732016425358
97,240,350,0.0023776,4.926145258860311e-07,4.4280627643384744e-05,20528.000000000007,0.011124831604766666
98,250,350,0.00248478,6.63079798522312e-07,6.80260702657453e-05,13514.999999999989,0.009747436474457168
99,260,350,0.00259211,8.829336630265714e-07,0.000103353705228375,8984.999999999996,0.008542835122123598
100,270,350,0.00270011,1.1647795084016044e-06,0.00015568407614827498,6018.9999999999945,0.007481686870096191
101,280,350,0.00280866,1.5220637049881555e-06,0.000231520593066,4077.999999999998,0.006574204414525916
102,290,350,0.00291814,1.9722584738989296e-06,0.00033865724791215003,2806.0,0.005823759822233443
103,300,350,0.00302869,2.5352924861272957e-06,0.00048406163880832496,1972.9999999999975,0.005237540599930088
104,50,375,0.00049401,3.536902865895158e-08,4.518145881714565e-12,inf,
105,60,375,0.00058736,3.2157765570045574e-08,3.0070585413815094e-11,inf,
106,70,375,0.00068181,1.2852631737236284e-08,1.6348406931470749e-10,inf,
107,80,375,0.00077727,8.188513099345254e-09,7.587588069855693e-10,inf,
108,90,375,0.00087356,6.987991717998948e-09,3.096139547127229e-09,inf,
109,100,375,0.00097052,7.190743967930712e-09,1.1344629207947405e-08,inf,
110,110,375,0.00106824,8.355199417340105e-09,3.797283629913504e-08,inf,
111,120,375,0.00116677,1.0511699119650139e-08,1.1766258404238911e-07,inf,
112,130,375,0.00126642,1.3939577848815325e-08,3.412857647689515e-07,inf,
113,140,375,0.00136719,1.912485715519497e-08,9.35161456694925e-07,903110.0000000002,0.020450861205065698
114,150,375,0.00146879,2.6770953429702044e-08,2.2572551122913507e-06,400289.99999999977,0.011859959153011603
115,160,375,0.00157084,3.783546857924207e-08,3.719687252009367e-06,246293.0,0.010171680040789298
116,170,375,0.00167358,5.368646223689278e-08,6.062549682723294e-06,152771.99999999994,0.00885542635467143
117,180,375,0.00177704,7.614789363431336e-08,9.772981917973855e-06,95617.99999999997,0.00779167446265985
118,190,375,0.00188136,1.0767426542471783e-07,1.5536258707554594e-05,60586.99999999997,0.006930514446979478
119,200,375,0.0019864,1.51378321372954e-07,2.4418097985900568e-05,38790.000000000015,0.006199431317720261
120,210,375,0.0020923,2.1137028512700427e-07,3.7926696072557127e-05,25107.999999999993,0.005573126768612646
121,220,375,0.0021989,2.9267373808436813e-07,5.836723991484566e-05,16394.0,0.005014349462324443
122,230,375,0.00230584,4.0118842174823645e-07,8.8879759974975e-05,10812.000000000004,0.004513833316620062
123,240,375,0.00241326,5.444917693120114e-07,0.0001342424949402,7186.999999999996,0.004056031359924903
124,250,375,0.00252133,7.3191323099215e-07,0.0002001359621781,4837.999999999998,0.0036570800321274795
125,260,375,0.00263019,9.74756830020864e-07,0.00029462234364345,3296.999999999998,0.0033084959476138995
126,270,375,0.00274008,1.2869784662258634e-06,0.00042417991869405,2295.000000000001,0.003034039117618219
127,280,375,0.00285122,1.6854850008371947e-06,0.0005914098329980501,1648.9999999999973,0.0028499441618901047
128,290,375,0.00296349,2.189016936429614e-06,0.0007834245845678249,1246.000000000001,0.0027941642112714426
129,300,375,0.00306958,2.774869839453446e-06,0.0012714296711270252,771.9999999999983,0.00218248000850392
130,50,400,0.00050099,1.478160042978451e-07,3.498129603474225e-11,inf,
131,60,400,0.0005961,2.875643151840137e-08,2.13091583339003e-10,inf,
132,70,400,0.00069209,1.2015462741434009e-08,1.0662937918130655e-09,inf,
133,80,400,0.00078891,7.928822609705271e-09,4.5773319782015725e-09,inf,
134,90,400,0.00088661,6.951111157706885e-09,1.7382685701181216e-08,inf,
135,100,400,0.00098524,7.307709797911121e-09,5.968789832127319e-08,inf,
136,110,400,0.00108514,8.650818408360363e-09,1.8866391972597648e-07,inf,
137,120,400,0.00118596,1.1063580669110149e-08,5.552296177890535e-07,inf,
138,130,400,0.00128728,1.4852782704445016e-08,1.5319861100549529e-06,600363.0000000002,0.009695115776155595
139,140,400,0.0013892,2.0547587510708047e-08,3.993232638076711e-06,239340.00000000017,0.005145602416142859
140,150,400,0.00149192,2.8941721045738782e-08,8.41962957495369e-06,115205.99999999997,0.0034374102551771664
141,160,400,0.00159539,4.113693425711445e-08,1.340259498454962e-05,72606.99999999997,0.003069326074878537
142,170,400,0.00169976,5.8675137174703856e-08,2.1072164913280898e-05,46296.0,0.002784485477224193
143,180,400,0.00180496,8.360357053542456e-08,3.276619583368559e-05,29835.000000000022,0.0025515189788823498
144,190,400,0.00191092,1.1861436715169197e-07,5.0450059081113394e-05,19411.000000000007,0.002351124444888841
145,200,400,0.00201752,1.6715648126875761e-07,7.639618282305e-05,12836.999999999993,0.002188021378711133
146,210,400,0.00212439,2.3339337421810938e-07,0.00011631322404359999,8444.999999999996,0.002006593628000733
147,220,400,0.00223195,3.230236025678348e-07,0.0001739207623209,5656.0,0.0018573032814324156
148,230,400,0.00234019,4.428970674615755e-07,0.000256977168552825,3832.0,0.0017234880046183257
